,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
151,0042400403,240,8,0,2,9:20 PM,9:19,,,SUB: Hartenstein FOR Holmgren,,,5,1631096,Chet Holmgren,1610612760.0,Oklahoma City,Thunder,OKC,5,1628392,Isaiah Hartenstein,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0
152,0042400403,242,2,79,2,9:21 PM,9:05,,,MISS Jal. Williams 19' Pullup Jump Shot,,,5,1631114,Jalen Williams,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
153,0042400403,243,4,0,2,9:21 PM,9:01,Siakam REBOUND (Off:0 Def:4),,,,,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
154,0042400403,244,6,2,2,9:21 PM,8:58,,,Wiggins S.FOUL (P2.T2) (T.Ford),,,5,1630598,Aaron Wiggins,1610612760.0,Oklahoma City,Thunder,OKC,4,204456,T.J. McConnell,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,1
155,0042400403,246,3,11,2,9:22 PM,8:58,McConnell Free Throw 1 of 2 (1 PTS),,,36 - 36,TIE,4,204456,T.J. McConnell,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
156,0042400403,247,8,0,2,9:22 PM,8:58,,,SUB: Gilgeous-Alexander FOR Jal. Williams,,,5,1631114,Jalen Williams,1610612760.0,Oklahoma City,Thunder,OKC,5,1628983,Shai Gilgeous-Alexander,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0
157,0042400403,249,8,0,2,9:22 PM,8:58,SUB: Nembhard FOR Nesmith,,,,,4,1630174,Aaron Nesmith,1610612754.0,Indiana,Pacers,IND,4,1629614,Andrew Nembhard,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
158,0042400403,251,3,12,2,9:22 PM,8:58,McConnell Free Throw 2 of 2 (2 PTS),,,36 - 37,1,4,204456,T.J. McConnell,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
159,0042400403,252,5,1,2,9:23 PM,8:43,McConnell STEAL (3 STL),,Gilgeous-Alexander Bad Pass Turnover (P2.T8),,,5,1628983,Shai Gilgeous-Alexander,1610612760.0,Oklahoma City,Thunder,OKC,4,204456,T.J. McConnell,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,1
160,0042400403,254,2,76,2,9:23 PM,8:37,MISS Siakam 4' Running Finger Roll Layup,,,,,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
161,0042400403,255,4,0,2,9:23 PM,8:35,,,Caruso REBOUND (Off:0 Def:2),,,5,1627936,Alex Caruso,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
162,0042400403,256,2,101,2,9:23 PM,8:29,,,MISS Gilgeous-Alexander 9' Driving Floating Jump Shot,,,5,1628983,Shai Gilgeous-Alexander,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1
163,0042400403,257,4,0,2,9:23 PM,8:27,Toppin REBOUND (Off:0 Def:3),,,,,4,1630167,Obi Toppin,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,1
164,0042400403,258,1,75,2,9:23 PM,8:18,Mathurin 4' Driving Finger Roll Layup (9 PTS) (Siakam 1 AST),,,36 - 39,3,4,1631097,Bennedict Mathurin,1610612754.0,Indiana,Pacers,IND,4,1627783,Pascal Siakam,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,1
165,0042400403,261,2,101,2,9:24 PM,7:58,Mathurin BLOCK (1 BLK),,MISS Wiggins 7' Driving Floating Jump Shot,,,5,1630598,Aaron Wiggins,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,4,1631097,Bennedict Mathurin,1610612754.0,Indiana,Pacers,IND,1
